,Title,Author,Age,Favorite,PublicDay,HashTag
85,개같이 탈출,갬쟈,ALL,2567,MONDAY,"드라마,성장물,2022지상최대공모전,무해한,힐링,좀비,동물"
86,신혼일기,자까,ALL,331459,THURSDAY,"일상,2030연애,친구>연인"
87,무직백수 계백순,지발,RATE_15,129590,WEDNESDAY,"개그,요즘핫한추천작"
88,싸움독학,박태준 만화회사,RATE_15,1077003,SUNDAY,"액션,학원물,인플루언서,소년왕도물"
89,약한영웅,서패스,RATE_15,550861,SUNDAY,"액션,드라마&영화원작웹툰,힘숨찐,학원물"
90,입학용병,YC,RATE_12,610040,SUNDAY,"액션,밀리터리,학원물,먼치킨"
91,투신전생기,청담,RATE_12,421249,SUNDAY,"액션,회귀,이능력배틀물,복수극,먼치킨"
92,일타강사 백사부,팀 더 지크,RATE_12,226172,SUNDAY,"무협/사극,소설원작"
93,사형소년,김숭늉,RATE_15,329650,SUNDAY,"스릴러,사이다"
94,가비지타임,2사장,ALL,351313,SUNDAY,"스포츠,최강자전,2017최강자전,농구,스포츠성장"
95,수희0(tngmlek0),생일기분,RATE_12,245871,SUNDAY,"드라마,하이퍼리얼리즘,인플루언서,머니게임"
96,나 혼자 특성빨로 무한 성장,샤이아탄,RATE_15,123830,SUNDAY,"액션,레드아이스스튜디오,헌터물,먼치킨,소설원작"
97,천화서고 대공자,128,RATE_15,82858,SUNDAY,"무협/사극,지금추천작,소설원작"
98,아카데미의 천재칼잡이,시치,RATE_15,64305,SUNDAY,"판타지,소설원작"
99,판사 이한영,문성호,RATE_15,154118,SUNDAY,"드라마,법정드라마,직업드라마,회귀,소설원작"
100,자매전쟁,기맹기,RATE_12,323466,SUNDAY,"드라마,계략여주,학원로맨스,복수극"
101,소녀재판,루즌아,RATE_15,378517,SUNDAY,"드라마,2019지상최대공모전,공감성수치"
102,분신으로 자동사냥,차씨,RATE_12,112870,SUNDAY,"판타지,소설원작"
103,폰투스 : 극야2,운,RATE_15,77954,SUNDAY,"스릴러,좀비,먼치킨,감염"
104,"안녕, 나의 수집",하린,ALL,69832,WEDNESDAY,"일상,무해한"
105,"고수, 후궁으로 깨어나다",LICO,RATE_15,96714,SUNDAY,"로맨스,요즘핫한추천작,로맨스코미디,궁중로맨스,동양풍판타지,걸크러시,소설원작"
106,사랑받는 시집살이,견이,ALL,124629,SUNDAY,"로맨스,요즘핫한추천작,러블리,힐링,로판,소설원작"
107,합격시켜주세용,이온,ALL,202082,SUNDAY,판타지
108,神장산범,령,RATE_15,73556,SUNDAY,"로맨스,폭스남,로맨스코미디,인외존재,빙의,구원서사"
109,무진,사과,RATE_15,49480,SUNDAY,"액션,범죄,복수극,느와르"
